ORDER,NAME OF PRODUIT ,,,URL,SHINPPING,PRICE,TOTAL



0,VR Box VR BOX 2.0,,,https://www.jumia.ma/ar/vr-box-2.0-virtual-reality-3d-glasses-for-3.5-6.0-inch-smartphone-camera-ar-vr-box-mpg856232.html, 16.80 ,58.79 ,75.59
1,VR SHINECON نظارات فيديو الواقع,,,https://www.jumia.ma/ar/vr-shinecon-lunettes-video-3d-de-realite-virtuelle-adaptees-aux-smartphones-de-35-a-60-pouces-avec-casque-hifi-27755973.html, 50.13 ,33.00 ,83.13
2,VR Box Lunettes 3D Réalité,,,https://www.jumia.ma/ar/vr-box-lunettes-3d-realite-pour-tous-mobiles-android-iphone-33045899.html?seller_product=1, 16.80 ,59.89 ,76.69
3,TWS F9-5 écouteurs sans fil,,,https://www.jumia.ma/ar/moulin-a-cafe-aussi-a-epices-new-design-large-capacite-env.-70g-homy-mpg75170.htmlhttps://www.jumia.ma/ar/f9-5-ecouteurs-sans-fil-bluetooth-avec-power-bank-led-digital-tws-mpg923721.html, 16.80 ,129.00 ,145.8
4,UNO R3 Shield Q Starter,,,https://www.jumia.ma/ar/generic-uno-r3-shield-q-starter-kit-for-arduino-beginner-stem-lcd-se-44366365.html, 68.34 ,549.00 ,617.34
5,Autre Le plus récent Kit,,,https://www.jumia.ma/ar/autre-id-starter-kit-for-arduino-uno-r3-upgraded-version-learning-suite-with-retail-box-43955453.html, 83.55 ,318.00 ,401.55
6,Alfa Network Carte Wifi USB,,,https://www.jumia.ma/ar/carte-wifi-usb-alfa-awus039nh-adaptateur-98dbi-high-gain-alfa-network-mpg19854.html, 21.97 ,239.00 ,260.97
